"created_at";"u1";"u2";"time_interval";"frequence"
"2019-10-28 09:00:00";"11112169";"222247868227145728";436736;1
"2019-10-28 09:00:00";"111136045";"2222762791";436736;1
"2019-10-28 09:00:00";"111181043";"222283773";436736;1
"2019-10-28 09:00:00";"111181043";"22228321";436736;2
"2019-10-28 09:00:00";"111193794";"2222762791";436736;1
"2019-10-28 09:00:00";"111195468391985152";"2222762791";436736;1
"2019-10-28 09:00:00";"111163217";"2222977660035461120";436736;1
"2019-10-28 09:00:00";"111163217";"2222995235154718720";436736;1
"2019-10-28 09:00:00";"111163217";"2222466392877174785";436736;1
"2019-10-28 09:00:00";"111163217";"2222551222526595072";436736;1
"2019-10-28 09:00:00";"111163217";"222237776";436736;1
"2019-10-28 09:00:00";"111163217";"2222695932";436736;1
"2019-10-28 09:00:00";"111163217";"222278395";436736;1
"2019-10-28 09:00:00";"111163217";"2222090799";436736;1
"2019-10-28 09:00:00";"111163217";"222230775";436736;1
"2019-10-28 09:00:00";"111163217";"222272360260571137";436736;1
"2019-10-28 09:00:00";"111163217";"222212938073440256";436736;1
"2019-10-28 09:00:00";"111163217";"222200074424700929";436736;1
"2019-10-28 09:00:00";"111130728";"2222143068";436736;1
"2019-10-28 09:00:00";"111155948016816128";"2222977660035461120";436736;1
"2019-10-28 09:00:00";"111155948016816128";"2222995235154718720";436736;1
"2019-10-28 09:00:00";"111155948016816128";"2222551222526595072";436736;1
"2019-10-28 09:00:00";"111155948016816128";"222237776";436736;1
"2019-10-28 09:00:00";"111155948016816128";"222278395";436736;1
"2019-10-28 09:00:00";"111155948016816128";"2222090799";436736;1
"2019-10-28 09:00:00";"111155948016816128";"222272360260571137";436736;1
"2019-10-28 09:00:00";"111155948016816128";"222212938073440256";436736;1
"2019-10-28 09:00:00";"111155948016816128";"222200074424700929";436736;1
"2019-10-28 09:00:00";"111172025639366657";"2222780418";436736;1
"2019-10-28 09:00:00";"111172025639366657";"22227569";436736;1
"2019-10-28 10:00:00";"1111647535661600768";"2222977660035461120";436737;1
"2019-10-28 10:00:00";"1111647535661600768";"2222995235154718720";436737;1
"2019-10-28 10:00:00";"1111647535661600768";"2222551222526595072";436737;1
"2019-10-28 10:00:00";"1111647535661600768";"222237776";436737;1
"2019-10-28 10:00:00";"1111647535661600768";"222278395";436737;1
"2019-10-28 10:00:00";"1111647535661600768";"2222090799";436737;1
"2019-10-28 10:00:00";"1111647535661600768";"222272360260571137";436737;1
"2019-10-28 10:00:00";"1111647535661600768";"222212938073440256";436737;1
"2019-10-28 10:00:00";"1111647535661600768";"222200074424700929";436737;1
"2019-10-28 10:00:00";"1111600467669733376";"2222762791";436737;1
"2019-10-28 10:00:00";"1111810724506009600";"2222780418";436737;1
"2019-10-28 10:00:00";"1111810724506009600";"22227569";436737;1
"2019-10-28 10:00:00";"111178941";"2222637564";436737;1
"2019-10-28 10:00:00";"111178941";"222226984";436737;1
"2019-10-28 10:00:00";"1111140520";"2222005500396359682";436737;1
"2019-10-28 10:00:00";"1111140520";"2222618300";436737;1
"2019-10-28 10:00:00";"1111140520";"2222143068";436737;1
"2019-10-28 10:00:00";"11116260";"2222752";436737;1
"2019-10-28 10:00:00";"1111468784";"2222762791";436737;1
"2019-10-28 10:00:00";"111147262";"22220428";436737;1
"2019-10-28 10:00:00";"1111928705";"2222762791";436737;1
"2019-10-28 10:00:00";"111148503";"222248865";436737;1
"2019-10-28 10:00:00";"1111780418";"22227569";436737;1
"2019-10-28 10:00:00";"111104190";"222212948";436737;1
"2019-10-28 10:00:00";"111104190";"22228321";436737;1
"2019-10-28 10:00:00";"111146203";"22228321";436737;1
"2019-10-28 10:00:00";"111146203";"22224580";436737;1
"2019-10-28 10:00:00";"111146203";"222220524";436737;1
"2019-10-28 10:00:00";"111145511";"2222780418";436737;1
"2019-10-28 10:00:00";"111145511";"22227569";436737;1
"2019-10-28 10:00:00";"111145511";"222247868227145728";436737;1
"2019-10-28 10:00:00";"111137146165985280";"2222106552222597120";436737;1
"2019-10-28 10:00:00";"111137146165985280";"2222890216";436737;1
"2019-10-28 10:00:00";"111137146165985280";"2222143068";436737;1
"2019-10-28 10:00:00";"111137146165985280";"222234322";436737;1
"2019-10-28 10:00:00";"111185405849468928";"222212948";436737;1
"2019-10-28 10:00:00";"111185405849468928";"222230541";436737;1
"2019-10-28 10:00:00";"111185405849468928";"222230728";436737;1
"2019-10-28 10:00:00";"111185405849468928";"222230560560132097";436737;1
"2019-10-28 10:00:00";"111195871446650880";"2222977660035461120";436737;1
"2019-10-28 10:00:00";"111195871446650880";"2222995235154718720";436737;1
"2019-10-28 10:00:00";"111195871446650880";"2222466392877174785";436737;1
"2019-10-28 10:00:00";"111195871446650880";"2222551222526595072";436737;1
"2019-10-28 10:00:00";"111195871446650880";"222237776";436737;1
"2019-10-28 10:00:00";"111195871446650880";"2222695932";436737;1
"2019-10-28 10:00:00";"111195871446650880";"222278395";436737;1
"2019-10-28 10:00:00";"111195871446650880";"2222090799";436737;1
"2019-10-28 10:00:00";"111195871446650880";"222272360260571137";436737;1
"2019-10-28 10:00:00";"111195871446650880";"222212938073440256";436737;1
"2019-10-28 10:00:00";"111195871446650880";"222200074424700929";436737;1
"2019-10-28 10:00:00";"111194213829296128";"2222762791";436737;1
"2019-10-28 10:00:00";"111155948016816128";"2222977660035461120";436737;1
"2019-10-28 10:00:00";"111155948016816128";"2222995235154718720";436737;1
"2019-10-28 10:00:00";"111155948016816128";"2222551222526595072";436737;1
"2019-10-28 10:00:00";"111155948016816128";"222237776";436737;1
"2019-10-28 10:00:00";"111155948016816128";"222278395";436737;1
"2019-10-28 10:00:00";"111155948016816128";"2222090799";436737;1
"2019-10-28 10:00:00";"111155948016816128";"222272360260571137";436737;1
"2019-10-28 10:00:00";"111155948016816128";"222212938073440256";436737;1
"2019-10-28 10:00:00";"111155948016816128";"222200074424700929";436737;1
"2019-10-28 10:00:00";"111140990878425088";"2222762791";436737;1
"2019-10-28 10:00:00";"11117695";"2222674513020923904";436737;1
"2019-10-28 11:00:00";"1111915990737838080";"22220549";436738;1
"2019-10-28 11:00:00";"111191551";"222221241";436738;1
"2019-10-28 11:00:00";"1111648172273197056";"22228321";436738;1
"2019-10-28 11:00:00";"111173784";"222293098";436738;1
"2019-10-28 11:00:00";"1111231157";"222258208342421504";436738;1
"2019-10-28 11:00:00";"1111231157";"222219879217999874";436738;1
"2019-10-28 11:00:00";"1111762456";"222263459";436738;1
"2019-10-28 11:00:00";"1111762456";"2222817294";436738;1
"2019-10-28 11:00:00";"1111762456";"2222415646";436738;1
"2019-10-28 11:00:00";"1111762456";"2222283468";436738;1
"2019-10-28 11:00:00";"1111762456";"222231398";436738;1
